id,geopos,apartments,price,year
1513,"{'type': 'Point', 'coordinates': [37.585763, 55.562454]}",65,247447.0,1969
1514,"{'type': 'Point', 'coordinates': [37.586149, 55.564323]}",232,268484.0,2005
1515,"{'type': 'Point', 'coordinates': [37.584353, 55.563035]}",36,277706.0,1974
1516,"{'type': 'Point', 'coordinates': [37.585026, 55.563309]}",44,317176.0,1962
1517,"{'type': 'Point', 'coordinates': [37.585736, 55.563009]}",71,344399.0,1966
1518,"{'type': 'Point', 'coordinates': [37.585188, 55.562683]}",51,305505.0,1966
1519,"{'type': 'Point', 'coordinates': [37.582251, 55.56392]}",202,264513.0,2003
1520,"{'type': 'Point', 'coordinates': [37.583688, 55.564068]}",348,261291.0,2005
1521,"{'type': 'Point', 'coordinates': [37.582826, 55.564791]}",246,313105.0,2003
1522,"{'type': 'Point', 'coordinates': [37.581128, 55.565106]}",379,236909.0,2003
1523,"{'type': 'Point', 'coordinates': [37.581227, 55.564394]}",161,216485.0,2004
1524,"{'type': 'Point', 'coordinates': [37.578217, 55.563895]}",173,256515.0,1980
1525,"{'type': 'Point', 'coordinates': [37.578307, 55.562958]}",175,252566.0,1970
1526,"{'type': 'Point', 'coordinates': [37.57961, 55.562948]}",75,250442.0,1965
1527,"{'type': 'Point', 'coordinates': [37.58031, 55.563661]}",184,228237.0,1982
1528,"{'type': 'Point', 'coordinates': [37.580355, 55.562902]}",58,206923.0,1969
1529,"{'type': 'Point', 'coordinates': [37.582152, 55.562938]}",302,190679.0,1995
1530,"{'type': 'Point', 'coordinates': [37.581056, 55.56276]}",28,367956.0,1957
1531,"{'type': 'Point', 'coordinates': [37.578927, 55.562368]}",18,276040.0,1980
1532,"{'type': 'Point', 'coordinates': [37.577858, 55.561741]}",154,315082.0,2019
1533,"{'type': 'Point', 'coordinates': [37.577202, 55.563101]}",222,313998.0,1977
1534,"{'type': 'Point', 'coordinates': [37.576189293968866, 55.559871342114995]}",711,318554.0,2018
1535,"{'type': 'Point', 'coordinates': [37.575639, 55.559746]}",776,467654.0,2018
1536,"{'type': 'Point', 'coordinates': [37.57793, 55.560866]}",678,409167.0,2019
1537,"{'type': 'Point', 'coordinates': [37.57908, 55.560316]}",239,249860.0,2020
1538,"{'type': 'Point', 'coordinates': [37.577822, 55.559237]}",411,350028.0,2018
1539,"{'type': 'Point', 'coordinates': [37.571076, 55.551578]}",49,304969.0,2008
1540,"{'type': 'Point', 'coordinates': [37.571884, 55.5511]}",366,310955.0,2009
1541,"{'type': 'Point', 'coordinates': [37.591422, 55.56953]}",144,266945.0,1992
1542,"{'type': 'Point', 'coordinates': [37.590021, 55.569993]}",67,280550.0,1997
1543,"{'type': 'Point', 'coordinates': [37.593713, 55.572365]}",143,199005.0,1996
